startup_id,month,months_since_onboard,total_revenue,retained_revenue,new_revenue,expansion_revenue,resurrected_revenue,churned_revenue,contraction_revenue,quick_ratio,gross_retention_pct,net_churn_pct
S001,2024-02-01,1,569.07,118.68,23.51,29.61,2.74,0.98,2.57,15.7,97.1,-42.8
S001,2024-03-01,2,1741.89,532.9,102.69,158.15,10.62,18.52,17.65,7.5,93.6,-41.3
S001,2024-04-01,3,2139.38,1706.34,102.09,160.46,10.84,10.64,24.91,7.69,98.0,-13.7
S001,2024-05-01,4,2542.11,1998.37,96.22,185.78,20.13,56.62,84.39,2.14,93.4,-7.5
S001,2024-06-01,5,2513.95,2450.48,141.05,302.16,30.39,15.84,75.79,5.17,96.4,-15.0
S001,2024-07-01,6,3212.61,2332.24,255.33,320.3,38.45,67.23,114.48,3.38,92.8,-17.2
S001,2024-08-01,7,3019.41,3137.99,139.95,192.08,28.43,14.38,60.24,4.83,97.7,-8.9
S001,2024-09-01,8,4402.34,2958.09,177.24,251.01,17.51,28.19,33.13,7.27,98.0,-12.7
S001,2024-10-01,9,5085.11,4237.84,352.01,518.72,67.73,37.53,126.97,5.7,96.3,-17.6
S001,2024-11-01,10,6083.62,4792.72,333.27,553.81,71.82,159.49,132.9,3.28,94.3,-13.1
S001,2024-12-01,11,5232.37,5890.94,176.43,260.98,36.53,110.72,81.96,2.46,96.8,-4.6
S001,2025-01-01,12,7041.31,4977.91,302.2,474.13,47.11,86.11,168.35,3.24,95.1,-10.9
S001,2025-02-01,13,7624.48,6602.37,351.28,615.28,72.31,225.18,213.76,2.37,93.8,-8.5
S001,2025-03-01,14,9288.39,7322.81,465.35,573.28,45.84,72.91,228.76,3.59,96.0,-10.3
S001,2025-04-01,15,11131.56,8621.4,529.49,1056.32,145.76,174.9,492.09,2.6,92.8,-11.5
S001,2025-05-01,16,12946.87,10871.42,383.75,918.0,78.16,107.66,152.48,5.3,97.7,-10.1
S001,2025-06-01,17,12784.92,12593.25,354.21,682.41,37.22,99.25,254.37,3.04,97.3,-5.6
S001,2025-07-01,18,15331.23,12122.61,1077.96,1596.44,151.16,257.6,404.7,4.27,94.8,-16.9
S001,2025-08-01,19,17666.52,14898.25,987.36,1640.92,212.95,175.38,257.6,6.56,97.2,-15.7
S001,2025-09-01,20,19237.69,16416.8,796.47,1254.59,207.22,467.77,781.94,1.81,92.9,-5.7
S001,2025-10-01,21,25529.35,18731.27,1730.76,2697.49,255.09,207.26,299.16,9.25,97.4,-21.7
S001,2025-11-01,22,30061.12,23676.65,1822.7,3024.01,201.84,757.57,1095.13,2.72,92.7,-12.5
S001,2025-12-01,23,27444.42,28117.92,952.0,1318.41,165.57,763.93,1179.27,1.25,93.5,-1.6
S002,2024-05-01,1,570.92,224.13,23.57,31.85,6.19,8.86,6.72,3.95,93.5,-19.2
S002,2024-06-01,2,1061.48,531.58,50.68,112.65,9.03,13.41,25.93,4.38,93.1,-23.3
S002,2024-07-01,3,2316.6,988.79,68.94,111.3,15.56,19.29,53.4,2.69,93.2,-11.6
S002,2024-08-01,4,2955.57,2150.33,114.35,238.1,25.38,63.44,102.84,2.27,92.8,-9.1
S002,2024-09-01,5,3897.07,2893.22,104.62,223.99,40.15,17.7,44.65,5.91,97.9,-10.4
S002,2024-10-01,6,3788.93,3775.89,230.34,253.01,64.19,68.53,52.65,4.52,96.9,-10.9
S002,2024-11-01,7,3837.09,3529.49,285.68,416.44,54.94,96.96,162.47,2.92,93.2,-13.1
S002,2024-12-01,8,3436.16,3687.91,241.12,376.94,66.61,47.8,101.38,4.59,96.1,-14.0
S002,2025-01-01,9,4453.84,3363.16,167.46,312.69,50.54,35.44,37.57,7.27,97.9,-13.3
S002,2025-02-01,10,4747.95,4167.58,266.35,311.14,73.85,105.0,181.26,2.28,93.6,-8.2
S002,2025-03-01,11,4507.99,4509.85,226.62,514.67,71.82,97.97,140.13,3.41,95.0,-12.1
S002,2025-04-01,12,4755.32,4160.19,193.92,587.03,100.74,144.07,203.72,2.54,92.3,-11.8
S002,2025-05-01,13,4712.38,4423.45,232.86,344.27,52.74,167.8,164.07,1.9,93.0,-6.3
S002,2025-06-01,14,4744.91,4555.79,297.44,458.06,75.7,49.32,107.27,5.31,96.7,-14.3
S002,2025-07-01,15,5182.2,4450.84,218.8,602.86,49.81,78.66,215.41,2.96,93.8,-12.2
S002,2025-08-01,16,5065.5,4885.7,297.84,346.3,69.97,100.24,196.25,2.41,94.3,-8.1
S002,2025-09-01,17,5717.22,4802.77,247.72,442.14,76.44,103.62,159.11,2.92,94.8,-9.9
