startup_id,month,months_since_onboard,monthly_revenue,cumulative_revenue,gm_x_ltv,cac_credits,contribution_margin,payback_achieved,gross_margin
S001,2024-01-01,0,122.24,122.24,79.46,56199,-56119.54,False,0.65
S001,2024-02-01,1,569.07,691.31,449.35,56199,-55749.65,False,0.65
S001,2024-03-01,2,1741.89,2433.2,1581.58,56199,-54617.42,False,0.65
S001,2024-04-01,3,2139.38,4572.58,2972.18,56199,-53226.82,False,0.65
S001,2024-05-01,4,2542.11,7114.69,4624.55,56199,-51574.45,False,0.65
S001,2024-06-01,5,2513.95,9628.64,6258.62,56199,-49940.38,False,0.65
S001,2024-07-01,6,3212.61,12841.25,8346.81,56199,-47852.19,False,0.65
S001,2024-08-01,7,3019.41,15860.66,10309.43,56199,-45889.57,False,0.65
S001,2024-09-01,8,4402.34,20263.0,13170.95,56199,-43028.05,False,0.65
S001,2024-10-01,9,5085.11,25348.11,16476.27,56199,-39722.73,False,0.65
S001,2024-11-01,10,6083.62,31431.73,20430.62,56199,-35768.38,False,0.65
S001,2024-12-01,11,5232.37,36664.1,23831.67,56199,-32367.34,False,0.65
S001,2025-01-01,12,7041.31,43705.41,28408.52,56199,-27790.48,False,0.65
S001,2025-02-01,13,7624.48,51329.89,33364.43,56199,-22834.57,False,0.65
S001,2025-03-01,14,9288.39,60618.28,39401.88,56199,-16797.12,False,0.65
S001,2025-04-01,15,11131.56,71749.84,46637.4,56199,-9561.6,False,0.65
S001,2025-05-01,16,12946.87,84696.71,55052.86,56199,-1146.14,False,0.65
S001,2025-06-01,17,12784.92,97481.63,63363.06,56199,7164.06,True,0.65
S001,2025-07-01,18,15331.23,112812.86,73328.36,56199,17129.36,True,0.65
S001,2025-08-01,19,17666.52,130479.38,84811.6,56199,28612.6,True,0.65
S001,2025-09-01,20,19237.69,149717.07,97316.1,56199,41117.1,True,0.65
S001,2025-10-01,21,25529.35,175246.42,113910.17,56199,57711.17,True,0.65
S001,2025-11-01,22,30061.12,205307.54,133449.9,56199,77250.9,True,0.65
S001,2025-12-01,23,27444.42,232751.96,151288.77,56199,95089.77,True,0.65
S002,2024-04-01,0,239.72,239.72,155.82,53095,-52939.18,False,0.65
S002,2024-05-01,1,570.92,810.64,526.92,53095,-52568.08,False,0.65
S002,2024-06-01,2,1061.48,1872.12,1216.88,53095,-51878.12,False,0.65
S002,2024-07-01,3,2316.6,4188.72,2722.67,53095,-50372.33,False,0.65
S002,2024-08-01,4,2955.57,7144.29,4643.79,53095,-48451.21,False,0.65
S002,2024-09-01,5,3897.07,11041.36,7176.88,53095,-45918.12,False,0.65
S002,2024-10-01,6,3788.93,14830.29,9639.69,53095,-43455.31,False,0.65
S002,2024-11-01,7,3837.09,18667.38,12133.8,53095,-40961.2,False,0.65
S002,2024-12-01,8,3436.16,22103.54,14367.3,53095,-38727.7,False,0.65
S002,2025-01-01,9,4453.84,26557.38,17262.3,53095,-35832.7,False,0.65
S002,2025-02-01,10,4747.95,31305.33,20348.46,53095,-32746.54,False,0.65
S002,2025-03-01,11,4507.99,35813.32,23278.66,53095,-29816.34,False,0.65
S002,2025-04-01,12,4755.32,40568.64,26369.62,53095,-26725.38,False,0.65
S002,2025-05-01,13,4712.38,45281.02,29432.66,53095,-23662.34,False,0.65
S002,2025-06-01,14,4744.91,50025.93,32516.85,53095,-20578.15,False,0.65
S002,2025-07-01,15,5182.2,55208.13,35885.28,53095,-17209.72,False,0.65
S002,2025-08-01,16,5065.5,60273.63,39177.86,53095,-13917.14,False,0.65
S002,2025-09-01,17,5717.22,65990.85,42894.05,53095,-10200.95,False,0.65
S002,2025-10-01,18,5832.15,71823.0,46684.95,53095,-6410.05,False,0.65
S002,2025-11-01,19,6335.85,78158.85,50803.25,53095,-2291.75,False,0.65
S002,2025-12-01,20,5527.77,83686.62,54396.3,53095,1301.3,True,0.65
S003,2024-06-01,0,194.33,194.33,126.31,26560,-26433.69,False,0.65
S003,2024-07-01,1,585.16,779.49,506.67,26560,-26053.33,False,0.65
S003,2024-08-01,2,1078.52,1858.01,1207.71,26560,-25352.29,False,0.65
S003,2024-09-01,3,2013.74,3871.75,2516.64,26560,-24043.36,False,0.65
S003,2024-10-01,4,2143.75,6015.5,3910.08,26560,-22649.92,False,0.65
S003,2024-11-01,5,2514.59,8530.09,5544.56,26560,-21015.44,False,0.65
S003,2024-12-01,6,1593.69,10123.78,6580.46,26560,-19979.54,False,0.65
S003,2025-01-01,7,1972.09,12095.87,7862.32,26560,-18697.68,False,0.65
S003,2025-02-01,8,1701.34,13797.21,8968.19,26560,-17591.81,False,0.65
S003,2025-03-01,9,1995.28,15792.49,10265.12,26560,-16294.88,False,0.65
S003,2025-04-01,10,1700.38,17492.87,11370.37,26560,-15189.63,False,0.65
S003,2025-05-01,11,1472.68,18965.55,12327.61,26560,-14232.39,False,0.65
S003,2025-06-01,12,1282.52,20248.07,13161.25,26560,-13398.75,False,0.65
S003,2025-07-01,13,1264.53,21512.6,13983.19,26560,-12576.81,False,0.65
S003,2025-08-01,14,1253.02,22765.62,14797.65,26560,-11762.35,False,0.65
S003,2025-09-01,15,1203.49,23969.11,15579.92,26560,-10980.08,False,0.65
S003,2025-10-01,16,1394.82,25363.93,16486.55,26560,-10073.45,False,0.65
S003,2025-11-01,17,1333.1,26697.03,17353.07,26560,-9206.93,False,0.65
S003,2025-12-01,18,1030.0,27727.03,18022.57,26560,-8537.43,False,0.65
